uid,病例数,新闻日期,省份,地级行政单位,Gaode_Lng,Gaode_Lat,province,city,citycode,adcode,level
752,1,2020/1/27,天津,天津,117.200983,39.084158,天津市,天津市,天津市,120000,省
753,1,2020/1/27,天津,天津,117.200983,39.084158,天津市,天津市,天津市,120000,省
754,1,2020/1/27,天津,天津,117.200983,39.084158,天津市,天津市,天津市,120000,省
755,1,2020/1/27,天津,天津,117.200983,39.084158,天津市,天津市,天津市,120000,省
756,1,2020/1/27,天津,天津,117.200983,39.084158,天津市,天津市,天津市,120000,省
757,1,2020/1/27,天津,天津,117.200983,39.084158,天津市,天津市,天津市,120000,省
758,1,2020/1/27,天津,天津,117.200983,39.084158,天津市,天津市,天津市,120000,省
759,1,2020/1/28,天津,天津,117.200983,39.084158,天津市,天津市,天津市,120000,省
760,1,2020/1/21,河南,周口,114.696951,33.626149,河南省,周口市,周口市,411600,市
761,1,2020/1/22,河南,三门峡,111.200135,34.772493,河南省,三门峡市,三门峡市,411200,市
762,1,2020/1/22,河南,洛阳,112.45404,34.619682,河南省,洛阳市,洛阳市,410300,市
763,1,2020/1/22,河南,新乡,113.9268,35.303004,河南省,新乡市,新乡市,410700,市
764,1,2020/1/22,河南,郑州,113.625368,34.746599,河南省,郑州市,郑州市,410100,市
765,1,2020/1/24,河南,周口,114.696951,33.626149,河南省,周口市,周口市,411600,市
766,1,2020/1/24,河南,信阳,114.091023,32.146983,河南省,信阳市,信阳市,411500,市
767,1,2020/1/24,河南,郑州,113.625368,34.746599,河南省,郑州市,郑州市,410100,市
768,1,2020/1/24,河南,郑州,113.625368,34.746599,河南省,郑州市,郑州市,410100,市
769,1,2020/1/25,河南,平顶山市,113.192661,33.766169,河南省,平顶山市,平顶山市,410400,市
770,1,2020/1/25,河南,新乡市,113.9268,35.303004,河南省,新乡市,新乡市,410700,市
771,8,2020/1/25,河南,南阳市,112.528321,32.990833,河南省,南阳市,南阳市,411300,市
772,2,2020/1/25,河南,驻马店市,114.022298,33.011529,河南省,驻马店市,驻马店市,411700,市
773,1,2020/1/25,河南,信阳市,114.091023,32.146983,河南省,信阳市,信阳市,411500,市
774,3,2020/1/25,河南,郑州市,113.625368,34.746599,河南省,郑州市,郑州市,410100,市
775,3,2020/1/25,河南,周口市,114.696951,33.626149,河南省,周口市,周口市,411600,市
776,4,2020/1/25,河南,信阳市,114.091023,32.146983,河南省,信阳市,信阳市,411500,市
777,3,2020/1/26,河南,安阳市,114.392392,36.097577,河南省,安阳市,安阳市,410500,市
778,3,2020/1/26,河南,漯河市,114.016539,33.581412,河南省,漯河市,漯河市,411100,市
779,12,2020/1/26,河南,郑州,113.625368,34.746599,河南省,郑州市,郑州市,410100,市
780,1,2020/1/26,河南,平顶山市,113.192661,33.766169,河南省,平顶山市,平顶山市,410400,市
781,2,2020/1/26,河南,新乡市,113.9268,35.303004,河南省,新乡市,新乡市,410700,市
782,1,2020/1/26,河南,三门峡,111.200135,34.772493,河南省,三门峡市,三门峡市,411200,市
783,1,2020/1/26,河南,周口,114.696951,33.626149,河南省,周口市,周口市,411600,市
784,5,2020/1/26,河南,驻马店市,114.022298,33.011529,河南省,驻马店市,驻马店市,411700,市
785,7,2020/1/26,河南,南阳市,112.528321,32.990833,河南省,南阳市,南阳市,411300,市
786,16,2020/1/26,河南,信阳市,114.091023,32.146983,河南省,信阳市,信阳市,411500,市
787,1,2020/1/27,河南,开封市,114.307581,34.797239,河南省,开封市,开封市,410200,市
788,2,2020/1/27,河南,鹤壁市,114.297272,35.747225,河南省,鹤壁市,鹤壁市,410600,市
789,1,2020/1/27,河南,许昌市,113.85264,34.035506,河南省,许昌市,许昌市,411000,市
790,6,2020/1/27,河南,商丘市,115.65637,34.414172,河南省,商丘市,商丘市,411400,市
791,9,2020/1/27,河南,郑州市,113.625368,34.746599,河南省,郑州市,郑州市,410100,市
792,1,2020/1/27,河南,洛阳市,112.45404,34.619682,河南省,洛阳市,洛阳市,410300,市
793,3,2020/1/27,河南,平顶山市,113.192661,33.766169,河南省,平顶山市,平顶山市,410400,市
794,4,2020/1/27,河南,安阳市,114.392392,36.097577,河南省,安阳市,安阳市,410500,市
795,1,2020/1/27,河南,新乡市,113.9268,35.303004,河南省,新乡市,新乡市,410700,市
796,3,2020/1/27,河南,漯河市,114.016539,33.581412,河南省,漯河市,漯河市,411100,市
797,1,2020/1/27,河南,三门峡市,111.200135,34.772493,河南省,三门峡市,三门峡市,411200,市
798,4,2020/1/27,河南,南阳市,112.528321,32.990833,河南省,南阳市,南阳市,411300,市
799,1,2020/1/27,河南,信阳市,114.091023,32.146983,河南省,信阳市,信阳市,411500,市
800,2,2020/1/27,河南,驻马店市,114.022298,33.011529,河南省,驻马店市,驻马店市,411700,市
801,6,2020/1/27,河南,周口市,114.696951,33.626149,河南省,周口市,周口市,411600,市
802,2,2020/1/28,河南,焦作,113.241823,35.215892,河南省,焦作市,焦作市,410800,市
803,8,2020/1/28,河南,郑州,113.625368,34.746599,河南省,郑州市,郑州市,410100,市
804,1,2020/1/28,河南,开封,114.307581,34.797239,河南省,开封市,开封市,410200,市
805,4,2020/1/28,河南,安阳,114.392392,36.097577,河南省,安阳市,安阳市,410500,市
806,2,2020/1/28,河南,新乡,113.9268,35.303004,河南省,新乡市,新乡市,410700,市
807,1,2020/1/28,河南,许昌,113.85264,34.035506,河南省,许昌市,许昌市,411000,市
808,3,2020/1/28,河南,漯河,114.016539,33.581412,河南省,漯河市,漯河市,411100,市
809,7,2020/1/28,河南,南阳,112.528321,32.990833,河南省,南阳市,南阳市,411300,市
810,1,2020/1/28,河南,商丘,115.65637,34.414172,河南省,商丘市,商丘市,411400,市
811,4,2020/1/28,河南,周口,114.696951,33.626149,河南省,周口市,周口市,411600,市
812,6,2020/1/28,河南,信阳,114.091023,32.146983,河南省,信阳市,信阳市,411500,市
813,1,2020/1/28,河南,驻马店,114.022298,33.011529,河南省,驻马店市,驻马店市,411700,市
814,2,2020/1/22,重庆,万州,108.1126461,30.6954351,重庆市,重庆市,重庆市,500101,区县
815,1,2020/1/22,重庆,巫山,109.879153,31.074834,重庆市,重庆市,重庆市,500237,乡镇
816,1,2020/1/22,重庆,巫山,109.879153,31.074834,重庆市,重庆市,重庆市,500237,乡镇
817,1,2020/1/22,重庆,长寿,107.075388,29.832806,重庆市,重庆市,重庆市,500115,区县
818,1,2020/1/22,重庆,垫江,107.3111496,30.2444194,重庆市,重庆市,重庆市,500231,区县
819,1,2020/1/23,重庆,涪陵,107.389298,29.703113,重庆市,重庆市,重庆市,500102,区县
820,2,2020/1/23,重庆,永川,105.926727,29.356524,重庆市,重庆市,重庆市,500118,区县
821,2,2020/1/24,重庆,九龙坡,106.51478,29.510124,重庆市,重庆市,重庆市,500107,区县
822,2,2020/1/24,重庆,渝北,106.513719,29.585938,重庆市,重庆市,重庆市,500112,区县
823,2,2020/1/24,重庆,开州,121.319633,41.365135,辽宁省,锦州市,锦州市,210727,村庄
824,1,2020/1/24,重庆,忠县,108.039002,30.29956,重庆市,重庆市,重庆市,500233,区县
825,1,2020/1/24,重庆,云阳,108.685426,30.938237,重庆市,重庆市,重庆市,500235,区县
826,1,2020/1/24,重庆,奉节,109.463987,31.018498,重庆市,重庆市,重庆市,500236,区县
827,1,2020/1/24,重庆,巫溪,109.0582505,31.4807847,重庆市,重庆市,重庆市,500238,区县
828,1,2020/1/24,重庆,两江新区,106.566022,29.642726,重庆市,重庆市,重庆市,0,区县
829,1,2020/1/24,重庆,万州,108.1126461,30.6954351,重庆市,重庆市,重庆市,500101,区县
830,2,2020/1/24,重庆,长寿,107.075388,29.832806,重庆市,重庆市,重庆市,500115,区县
